"declaration","file","line","mathematical_statement","assumptions","correspondence","dependencies","build_status"
"OBS.CoreBranch.phaseCoupling_sq_le_DH","OBS/CoreBranch/AlgebraicCore.lean","14","theorem phaseCoupling_sq_le_DH {B D K H : ℝ} (hD : 0 ≤ D) (hBK : B ^ 2 ≤ D * K) (hKH : K ≤ H) : B ^ 2 ≤ D * H","All typed hypotheses are explicit in the signature; no hidden project axioms","Reusable exact theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.phaseCoupling_sq_lt_DH_of_lt","OBS/CoreBranch/AlgebraicCore.lean","21","theorem phaseCoupling_sq_lt_DH_of_lt {B D K H : ℝ} (hD : 0 < D) (hBK : B ^ 2 ≤ D * K) (hKH : K < H) : B ^ 2 < D * H","All typed hypotheses are explicit in the signature; no hidden project axioms","Reusable exact theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.threeFactor_identity","OBS/CoreBranch/AlgebraicCore.lean","32","theorem threeFactor_identity {sigma a b N D B C H : ℝ} (hC : C ≠ 0) (hH : H ≠ 0) (hB : B ≠ 0) (hb : b ≠ 0) (haN : a * N = D / 2) (hbN : b * N = B) : sigma * a / b ^ 2 = (sigma / (2 * C)) * (D * H / B ^ 2) * (N * C / H)","All typed hypotheses are explicit in the signature; no hidden project axioms","Reusable exact theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.product_lt_one_iff_last_lt_inv","OBS/CoreBranch/AlgebraicCore.lean","48","theorem product_lt_one_iff_last_lt_inv {tau kappa etaCur : ℝ} (htau : 0 < tau) (hkappa : 0 < kappa) : tau * kappa * etaCur < 1 ↔ etaCur < 1 / (tau * kappa)","All typed hypotheses are explicit in the signature; no hidden project axioms","Reusable exact theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.obsViolation_iff_etaCur_lt","OBS/CoreBranch/AlgebraicCore.lean","56","theorem obsViolation_iff_etaCur_lt {Y tau kappa etaCur : ℝ} (hY : Y = tau * kappa * etaCur) (htau : 0 < tau) (hkappa : 0 < kappa) : Y < 1 ↔ etaCur < 1 / (tau * kappa)","All typed hypotheses are explicit in the signature; no hidden project axioms","Reusable exact theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.threeFactor_strict_bound","OBS/CoreBranch/AlgebraicCore.lean","65","theorem threeFactor_strict_bound {Y tau kappa etaCur eta : ℝ} (hY : Y = tau * kappa * etaCur) (htau : 1 < tau) (hkappa : 1 < kappa) (hetaCur : 0 < etaCur) (hlocal : eta ≤ etaCur) : etaCur < Y ∧ eta ≤ etaCur","All typed hypotheses are explicit in the signature; no hidden project axioms","Reusable exact theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.guSlack_regrouping","OBS/CoreBranch/AlgebraicCore.lean","81","theorem guSlack_regrouping {C G B M D H : ℝ} (hB : B ≠ 0) (hG : G ≠ 0) (hH : H ≠ 0) : (C * G / B ^ 2) * (M * D / G) = (D * H / B ^ 2) * (M * C / H)","All typed hypotheses are explicit in the signature; no hidden project axioms","Reusable exact theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.pairSum_add","OBS/CoreBranch/EigenmodeIdentities.lean","20","@[simp] theorem pairSum_add (f g : I → I → ℝ) : pairSum (fun i j ↦ f i j + g i j) = pairSum f + pairSum g","All typed hypotheses are explicit in the signature; no hidden project axioms","Reusable exact theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.pairSum_sub","OBS/CoreBranch/EigenmodeIdentities.lean","24","@[simp] theorem pairSum_sub (f g : I → I → ℝ) : pairSum (fun i j ↦ f i j - g i j) = pairSum f - pairSum g","All typed hypotheses are explicit in the signature; no hidden project axioms","Reusable exact theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.pairSum_const_mul","OBS/CoreBranch/EigenmodeIdentities.lean","28","@[simp] theorem pairSum_const_mul (c : ℝ) (f : I → I → ℝ) : pairSum (fun i j ↦ c * f i j) = c * pairSum f","All typed hypotheses are explicit in the signature; no hidden project axioms","Reusable exact theorem","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
